Title: A Machine Learning Method to Infer Fundamental Stellar Parameters 
       from Photometric Light Curves  
Authors: Miller A.A., Bloom J.S., Richards J.W., Lee Y.S., Starr D.L., 
         Butler N.R., Tokarz S., Smith N., Eisner J.A. 
Table: SSPP Stellar Parameters for Hectospec Targets
================================================================================
Byte-by-byte Description of file: apj504861t3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units    Label  Explanations
--------------------------------------------------------------------------------
   1-  7 I7     ---      ID     Source identifier in the UWVSC 
   9- 12 F4.1   ---      P      Target priority for Hectospec observations
  14- 18 A5     ---      Flags  Analyis flags returned by the SSPP (1)
  20- 26 F7.1   K        Teff   Effective temperature (2)
  28- 34 F7.1   K       eTeff   Uncertainty in Teff  (2)
  36- 37 I2     ---    o_Teff   Number of methods used by SSPP to derive Teff
  39- 46 F8.2   [cm/s2]  log(g) Log surface gravity (2)
  48- 55 F8.2   [cm/s2] elog(g) Uncertainty in log(g) (2)
      57 I1     ---    o_log(g) Number of methods used by SSPP to derive log(g)
  59- 66 F8.2   [-]      [Fe/H] Metallicity (2)
  68- 75 F8.2   [-]     e[Fe/H] Uncertainty in [Fe/H] (2)
      77 I1     ---    o_[Fe/H] Number of methods used by SSPP to derive [Fe/H]
--------------------------------------------------------------------------------
Note (1): See Lee et al. 2008a.
Note (2): A -9999.00 indicates a NULL value.
--------------------------------------------------------------------------------
5398376  7.  nnnnn  6019.1    85.2  5     3.63     0.16 2    -0.56     0.09 1 
5463758  9.  Nnnnn  4510.8    60.6  3     4.10     0.00 2    -0.05     0.08 1 
5529210  8.  nnnnn  6224.3   101.0  6     3.59     0.31 3    -0.49     0.09 1 
5744847  3.  nnnGn  4923.4   164.3  5     3.89     0.45 5    -1.68     0.02 4 
5796940 10.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5815339  5.  nnnnn  5899.7    94.4  7     4.10     0.26 4    -0.59     0.02 4 
5836847  8.  nnBnn  4859.9    85.5  3     4.61     0.21 3    -0.90     0.08 1 
5860208 10.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5897424  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4370203  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4559372  7.  nnnnn  5081.6   116.6  3     4.30     0.03 2    -0.59     0.10 1 
4657927  3.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4668717  1.  nnnnn  6949.7    49.0 10     4.17     0.27 7    -0.46     0.03 5 
4695059  5.  Nnnnn  4707.7    26.4  3     3.77     0.27 2    -0.51     0.10 1 
4739954  3.  nnnnn  6497.5    59.7 10     4.28     0.21 7    -1.24     0.02 5 
4777250  1.  nnnnn  4901.6    96.7  4     3.94     0.04 4    -0.67     0.13 2 
4799071  9.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5069068  2.5 Nnngn  4652.0    77.6  3     4.11     0.46 2    -1.46     0.09 1 
5113699  8.  nnnnn  5818.7    49.1  6     4.16     0.18 4    -0.36     0.05 4 
5203525  9.  Nnnnn  4473.3    87.8  3     4.31     0.08 2    -0.25     0.06 1 
5321652  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5383162  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5414567  1.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5423508  9.  nnBnn  5701.1   145.1  4     4.25     0.25 2    -0.45     0.10 1 
5526116  8.  nnnnn  5339.9   111.1  3     4.20     0.14 2    -0.76     0.02 1 
5895111  6.  nnnnn  4372.2   118.2  3     4.46     0.17 2    -0.65     0.11 1 
6004038 10.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6033285  4.  nnnnn  5889.6    73.3  9     4.11     0.14 6    -0.82     0.03 5 
6099020  8.  NnnGn  5449.3    88.8  4     4.29     0.29 2    -1.04     0.11 1 
4282184  2.  nnnnn  5748.5   126.3  4     4.10     0.41 2    -0.94     0.03 1 
4478887  5.  nCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4542584  5.  nnnnn  5394.4    70.3  7     4.34     0.20 6    -0.93     0.04 7 
4641857  3.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4720393  2.  nnnnn  5602.4    90.7  4     4.35     0.24 2    -0.32     0.09 1 
4755881  7.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4786016  5.  nnnnn  4776.6    49.6  3     4.37     0.07 2    -0.91     0.10 1 
4805741  7.  nnnnn  5577.1   109.5  4     3.89     0.06 2    -0.86     0.03 1 
5054408  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5160578  2.  nnnnn  6989.9    71.8 10     4.13     0.15 7    -0.35     0.08 5 
5177547  2.  nnnnn  7056.4    42.7 10     4.18     0.21 7    -0.79     0.00 3 
5230603  9.  nnBGn  5369.9   107.1  3     4.42     0.19 2    -1.15     0.11 1 
5402668  1.  nnnnn  5749.3   132.5  7     4.12     0.22 6    -0.12     0.01 4 
5485671  2.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5515925  5.  nnnnn  5716.9   146.3  5     3.84     0.30 4    -0.73     0.06 3 
5539472  2.  nnnnn  5605.4   148.4  7     3.71     0.28 6    -0.18     0.04 3 
5548276  6.  nnnnn  4874.3   142.7  3     4.32     0.04 2    -0.30     0.10 1 
5672795  5.  nnnnn  5223.0   117.8  4     4.47     0.13 4    -0.14     0.07 3 
5811329  4.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4300388  2.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4339178  8.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4423201  1.  nnnnn  5438.8    74.8  7     3.80     0.12 6    -0.40     0.04 4 
4582574  2.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4789942  3.  nnnnn  6324.0    29.8 10     3.99     0.15 7    -0.77     0.03 5 
4795572 10.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5073887  9.  lnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5092261  3.  nnngn  4297.5    80.7  4     4.30     0.30 4    -1.25     0.10 2 
5132587  3.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5177616  1.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5476420  2.  nnnnn  5713.3    88.5  9     3.93     0.19 6    -0.64     0.02 6 
5604247  6.  nnnnn  4970.2   159.4  4     4.77     0.13 4    -0.40     0.06 2 
5717512 10.  nnngn  5403.0    83.1  3     4.38     0.13 2    -1.11     0.08 1 
5770510  5.  nnnnn  5951.1   107.2  9     4.10     0.16 6    -0.55     0.04 6 
5770805  4.  nnnnn  5448.1    61.9  8     4.35     0.15 6    -0.23     0.07 7 
5791747 10.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5840407  2.  nnnnn  7027.1   115.0  7     3.10     0.20 5    -1.46     0.06 4 
5975721  4.  nCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
7909350  5.  nnnnn  4762.8    70.6  4     4.47     0.15 4    -0.80     0.04 2 
4177927  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4296429  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4394923  3.  nnnnn  4886.5   127.7  4     4.24     0.06 3    -0.49     0.11 3 
4616357  5.  Nnnnn  4531.3    96.2  3     4.32     0.26 2    -0.79     0.08 1 
4636459  5.  nnnnn  5940.1    50.1  4     3.83     0.24 2    -0.65     0.10 1 
4839904  5.  Nnnnn  4160.8    22.1  1     4.16     0.09 1    -0.96     0.08 1 
4857209  5.  lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4871597  1.  nnnnT  5336.4   210.5  4     3.77     0.38 4    -0.33     0.08 2 
5054747  6.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5106556  5.  nnnGn  4209.2    47.0  2     4.18     0.36 3    -1.22     0.05 2 
5135140  3.  lCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5163339  5.  nnnnn  5763.4    78.2  7     4.17     0.16 6    -0.44     0.09 5 
5242156  2.  nnnnn  5932.8    50.1  9     4.09     0.14 6    -0.24     0.02 6 
5315030  2.  nnnnn  5932.4    59.9  8     3.94     0.15 6    -0.47     0.04 6 
5356240  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5439874  5.  nnnnn  5470.7   109.2  7     4.44     0.14 6    -0.84     0.11 7 
5634919  5.  NnBnn  5129.1    45.2  3     4.39     0.04 2    -0.29     0.09 1 
5758279  2.5 nnnnn  5697.3   263.6  4     3.74     0.06 2    -0.69     0.07 1 
5820176  8.  nnnnn  5962.2    73.4  7     3.62     0.31 4    -0.83     0.12 3 
5841778  7.  nnnnn  5795.5   129.6  4     4.19     0.32 2    -0.34     0.10 1 
4442716  3.  nnnnn  4357.7    63.3  3     4.30     0.27 3    -0.63     0.10 1 
4878058  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5018848  1.  nnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5080469  5.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5196862  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5197961  2.  nnnnn  6104.5    40.0  9     3.86     0.05 6    -0.18     0.02 6 
5233597  2.  nnBnn  5039.7   117.5  4     3.60     0.46 4    -1.00     0.08 2 
5937436  3.  nnnnn  4382.3    67.9  4     4.47     0.22 4    -0.79     0.08 1 
4463567  2.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4672775  3.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4841172  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4843409  5.  nnBnn  5313.6    55.5  4     4.20     0.30 4    -0.52     0.09 1 
5037367  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5119284  5.  nnnnn  5119.7   166.8  5     3.71     0.37 4    -0.99     0.02 3 
5160946  8.  nnnnn  5631.6   248.0  3     4.04     0.02 2    -0.39     0.09 1 
5181850  2.5 lnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5241036  3.  nnnnn  5573.8    42.2  7     3.66     0.11 6    -0.41     0.06 5 
5270369  3.  nnnnn  5840.8    88.8  8     4.26     0.18 6    -0.20     0.03 6 
5589534  5.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5736581  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5968934  5.  NnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6045670  6.  nnnnn  5722.8    67.2  6     4.21     0.33 4    -0.85     0.12 3 
4202889  2.  nnnnn  4681.0    20.4  3     4.22     0.02 2    -0.68     0.10 1 
4283050  2.  nnnnn  5632.5    97.8  5     4.14     0.10 5    -0.12     0.07 2 
4309627  5.  lnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4418465  5.  nnnnn  5691.8   114.4  6     4.40     0.21 4    -0.90     0.06 4 
4553877  5.  nnnnn  5802.4    55.7  8     4.18     0.19 6    -0.52     0.05 6 
4553920  3.  nnnGn  5319.9    96.9  8     3.34     0.21 6    -1.06     0.05 6 
4558690  8.  Nnnnn  4872.4   105.6  3     4.33     0.04 2    -0.92     0.09 1 
4591458  3.  nnnnn  4790.4    83.1  4     4.43     0.16 4    -0.42     0.08 3 
4699278  2.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4700246  9.  nnnnn  5893.3    67.7  5     4.25     0.43 2    -0.31     0.09 1 
4847565  5.  nnBnT  5506.5   290.7  3     4.32     0.24 3    -0.62     0.04 2 
4857244  5.  NCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
4871978  7.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5056378  5.  Nnnnn  4586.8    58.9  3     4.18     0.27 2    -0.90     0.08 1 
5130508  9.  NnBnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5153184  9.  nnBGn  5556.1    18.9  4     4.26     0.37 2    -1.01     0.03 1 
5158699  3.  nnnnn  4582.5    86.4  4     4.23     0.04 4    -0.73     0.00 2 
5183206  9.  NnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5318314  1.  nnnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5413217  2.  nnnnn  5427.2    88.6  7     3.98     0.18 6    -0.89     0.05 7 
5417566  6.  NnnGn  4224.2    59.6  3     3.83     0.32 2    -1.15     0.09 1 
5446697  3.  nnnGn  5768.3   131.0  9     3.83     0.39 6    -1.12     0.03 6 
5504431  7.  nnnnn  5786.3    44.3  4     3.63     0.00 2    -0.38     0.10 1 
5563194  9.  nnnnn  5836.3   189.9  5     3.23     0.25 2    -0.97     0.08 1 
5619213  3.  nCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
5817159  3.  nnngn  4208.6    79.8  4     3.85     0.48 4    -1.28     0.11 1 
6017407  2.  nCnnR -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
6024676  5.  nnnnT  5153.0   179.3  3     2.91     0.67 2    -1.02     0.08 1 
4195014  9.  nnnnX -9999.0 -9999.0  0 -9999.00 -9999.00 0 -9999.00 -9999.00 0 
